timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-02-04 03:00:00,100839.99000000,101021.78000000,100534.03000000,100629.70000000,836.28422000,1738641599999,84252767.74752060,87717,364.30031000,36703737.75539190,0
2025-02-04 04:00:00,100629.70000000,100764.11000000,100009.97000000,100053.12000000,1381.80512000,1738645199999,138581308.25525570,140217,464.14474000,46553932.19241260,0
2025-02-04 05:00:00,100053.11000000,100094.09000000,98229.82000000,98865.99000000,3289.06115000,1738648799999,325243782.34741500,455365,1539.28738000,152204136.51050950,0
2025-02-04 06:00:00,98866.00000000,99673.60000000,98838.28000000,99367.58000000,1435.39110000,1738652399999,142536365.49019620,192572,768.14517000,76300132.11268960,0
2025-02-04 07:00:00,99367.58000000,99473.85000000,98316.27000000,98448.02000000,1388.95315000,1738655999999,137321511.50085880,169396,621.51135000,61428406.04033150,0
2025-02-04 08:00:00,98448.01000000,98730.80000000,97860.00000000,98304.34000000,1752.20972000,1738659599999,172183744.23643090,309343,945.39640000,92914794.51633050,0
2025-02-04 09:00:00,98304.35000000,98809.18000000,98271.73000000,98338.23000000,985.16981000,1738663199999,97102563.55161070,215168,492.88071000,48580236.51635310,0
2025-02-04 10:00:00,98338.23000000,98976.96000000,98338.22000000,98779.91000000,824.21046000,1738666799999,81352326.86678680,172725,471.42975000,46528121.49202980,0
2025-02-04 11:00:00,98779.91000000,99445.17000000,98742.47000000,98967.70000000,977.64392000,1738670399999,96978663.79684280,192369,567.40146000,56281271.61666510,0
2025-02-04 12:00:00,98967.70000000,99789.00000000,98967.70000000,99362.04000000,1083.80926000,1738673999999,107687402.41795120,162584,613.68411000,60971293.42192750,0
2025-02-04 13:00:00,99362.04000000,99545.35000000,98958.90000000,99007.22000000,1220.15944000,1738677599999,121231710.80677180,188910,589.32725000,58559985.59661650,0
2025-02-04 14:00:00,99007.22000000,100415.00000000,98561.48000000,99984.72000000,3030.76129000,1738681199999,301922615.07445260,445974,1423.43290000,141873378.56465380,0
2025-02-04 15:00:00,99984.72000000,100223.38000000,98275.98000000,99347.19000000,3087.63726000,1738684799999,306311422.17489800,600891,1380.92732000,136986487.48159430,0
2025-02-04 16:00:00,99347.18000000,99949.50000000,99028.46000000,99043.48000000,1429.42951000,1738688399999,142157198.32191240,339291,755.27251000,75113005.98970680,0
2025-02-04 17:00:00,99043.48000000,99613.25000000,98829.64000000,99168.35000000,1585.36646000,1738691999999,157158497.97282630,266689,735.30700000,72899644.92834000,0
2025-02-04 18:00:00,99168.35000000,99566.66000000,98778.58000000,99415.20000000,900.05624000,1738695599999,89308285.66227760,188803,515.40391000,51148393.08812440,0
2025-02-04 19:00:00,99415.20000000,100777.93000000,98782.60000000,98859.77000000,2703.09828000,1738699199999,269972641.76766870,477520,1341.61916000,134029982.28770130,0
2025-02-04 20:00:00,98859.78000000,99444.02000000,97965.63000000,98652.18000000,3369.18259000,1738702799999,332402461.24583000,584647,1535.50511000,151477978.39831420,0
2025-02-04 21:00:00,98652.18000000,98673.86000000,96422.00000000,96514.47000000,2950.33720000,1738706399999,287215951.42317640,546838,1228.17040000,119565962.87730390,0
2025-02-04 22:00:00,96514.47000000,97967.40000000,96150.00000000,97691.20000000,2046.93005000,1738709999999,198238833.93729770,339723,987.10926000,95595276.41635220,0
2025-02-04 23:00:00,97691.20000000,98224.97000000,97473.32000000,97763.13000000,998.97740000,1738713599999,97688634.51915750,196399,461.37432000,45122988.41824090,0
2025-02-05 00:00:00,97763.14000000,98390.70000000,97711.70000000,98274.01000000,760.72898000,1738717199999,74603921.83433130,220154,364.45017000,35743060.91728880,0
2025-02-05 01:00:00,98274.01000000,98930.44000000,97662.18000000,97849.82000000,1269.69391000,1738720799999,124834562.48678400,204495,512.10049000,50367820.14415880,0
2025-02-05 02:00:00,97849.81000000,98192.00000000,97131.43000000,97993.99000000,1357.78340000,1738724399999,132569038.14343000,246879,622.54222000,60783772.10092570,0
2025-02-05 03:00:00,97994.00000000,98324.16000000,97771.82000000,98040.00000000,651.17813000,1738727999999,63832529.70788760,160391,327.52011000,32108600.55519870,0
2025-02-05 04:00:00,98040.01000000,98332.41000000,97916.02000000,98046.00000000,624.88451000,1738731599999,61304068.15535930,114256,264.50633000,25961583.34912560,0
2025-02-05 05:00:00,98045.99000000,98300.00000000,97681.53000000,98138.40000000,775.46553000,1738735199999,76000011.58022510,128527,340.06343000,33331735.95880040,0
2025-02-05 06:00:00,98138.40000000,98222.00000000,97559.12000000,97652.00000000,913.99827000,1738738799999,89402595.63107080,161734,319.66195000,31270622.77230680,0
2025-02-05 07:00:00,97652.00000000,97984.53000000,97352.77000000,97864.43000000,919.15325000,1738742399999,89709254.47563510,149063,418.29663000,40846290.03448180,0
2025-02-05 08:00:00,97864.43000000,98038.00000000,97572.00000000,97634.24000000,516.01346000,1738745999999,50451303.14226180,127088,298.83269000,29216348.42485650,0
2025-02-05 09:00:00,97634.25000000,97970.61000000,97257.05000000,97405.61000000,787.76544000,1738749599999,76870800.82581270,150398,411.25802000,40133022.28492430,0
2025-02-05 10:00:00,97405.61000000,98040.71000000,97348.30000000,97734.96000000,916.77973000,1738753199999,89653901.09916150,113069,409.47781000,40032891.55666740,0
2025-02-05 11:00:00,97734.97000000,98256.00000000,97708.00000000,98198.00000000,908.03831000,1738756799999,89019535.74605710,115479,433.15899000,42459395.74654230,0
2025-02-05 12:00:00,98198.00000000,98710.38000000,97992.00000000,98057.61000000,1291.30146000,1738760399999,127046310.12241010,143157,503.36257000,49543133.94960200,0
